player_name,player_id,season,season_type,team,G,poss,min_played,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Derrick Jones Jr.,jonesde02,2021,RS,POR,58,2732,1318,-1.59079353,1.585136846,-0.005656683,-2.064412085,-0.214392005,-2.27880409,-1.837588455,1.351883407,-0.485705048,1.514807944,1.514807944,0,-2.027159558,0.745148506,-1.282011052,-0.51745876
Mason Jones,jonesma05,2021,RS,HOU,26,679,307,-1.867727971,-6.880158249,-8.74788622,-6.738115095,0.370504002,-6.367611093,-2.901262619,-5.748919013,-8.650181632,-0.934198167,-0.934198167,0,-2.130340982,-6.484289435,-8.614630417,1.0974928
Mason Jones,jonesma05,2021,RS,PHI,6,58,27,8.682131095,-8.09190044,0.590230655,1.231252765,-7.937387717,-6.706134952,7.659033043,-8.594156784,-0.935123741,0.025077095,0.025077095,0,4.621450699,-10.28179244,-5.660341746,0.308772079
Tre Jones,jonestr01,2021,RS,SAS,37,565,269,-1.929414773,-7.224903191,-9.154317964,-6.646853666,-3.855762609,-10.50261627,-2.986873877,-6.94579477,-9.932668647,-0.971312988,-0.971312988,0,-2.428330504,-6.535725984,-8.964056488,-1.481568662
Tyus Jones,jonesty01,2021,PO,MEM,70,53,25,6.092041033,-4.93844369,1.153597342,0.88988666,12.85759218,13.74747884,5.229094342,-1.457300296,3.771794047,0.084789433,0,0.084789433,8.121766983,-3.895145609,4.226621374,-1.146703535
Tyus Jones,jonesty01,2021,RS,MEM,70,2573,1222,0.581441101,-0.01315601,0.568285091,-4.229083657,-0.238800748,-4.467884405,-0.383957343,-0.070955307,-0.45491265,1.412207132,1.412207132,0,0.009615718,-0.550889974,-0.541274256,-1.319491506
DeAndre Jordan,jordade01,2021,RS,BRK,57,2623,1246,-3.285503294,-0.133632069,-3.419135363,-1.188766171,-3.137020625,-4.325786795,-3.096505939,-0.752878593,-3.849384533,-0.697360395,-0.697360395,0,-2.817312344,-1.354201888,-4.171514232,-0.220834736
Cory Joseph,josepco01,2021,RS,SAC,44,1993,944,-1.803962805,-0.766764802,-2.570727608,-3.115232238,-3.236224295,-6.351456533,-2.173247297,-1.264993689,-3.438240986,-0.329942332,-0.329942332,0,-2.486295595,-0.83044168,-3.316737275,-0.467401596
Cory Joseph,josepco01,2021,RS,DET,19,1044,502,0.814765164,3.968282596,4.783047759,1.738673986,-0.386379163,1.352294824,1.110895248,3.319793301,4.43068855,1.835498834,1.835498834,0,-0.149173715,3.224015565,3.07484185,-0.198864056
Mfiondu Kabengele,kabenmf01,2021,RS,CLE,16,404,186,-2.058235696,0.909073882,-1.149161814,-5.201187233,-1.859327364,-7.060514597,-2.762760604,0.436996172,-2.325764433,0.040588636,0.040588636,0,-2.709396771,-0.680817429,-3.3902142,0.827370669
Mfiondu Kabengele,kabenmf01,2021,RS,LAC,23,196,94,-8.9736381,-0.121401139,-9.095039239,-14.79319835,9.619063362,-5.174134983,-10.82345717,1.854763436,-8.968693731,-0.299590244,-0.299590244,0,-8.454587836,0.437354003,-8.017233833,0.456786918
Frank Kaminsky,kaminfr01,2021,PO,PHO,47,16,7,-28.19688664,3.034319688,-25.16256695,-19.05744804,30.6723947,11.61494666,-28.01402022,8.878155533,-19.13586468,-0.060328316,0,-0.060328316,-22.3155978,-2.098137794,-24.41373559,-0.044414036
Frank Kaminsky,kaminfr01,2021,RS,PHO,47,1484,715,-0.513445809,-0.165376994,-0.678822803,-0.121768265,-0.626854892,-0.748623156,-0.521293636,-0.292370928,-0.813664564,0.703117608,0.703117608,0,-0.525325277,-0.221412346,-0.746737623,-0.463739265
Enes Kanter,kanteen01,2021,PO,POR,72,84,42,-10.07548648,-16.61226619,-26.68775267,-15.69265313,-27.52844313,-43.22109626,-11.91808958,-20.11549214,-32.03358172,-0.631370165,0,-0.631370165,-12.32288941,-18.05014455,-30.37303396,-2.391748009
Enes Kanter,kanteen01,2021,RS,POR,72,3618,1758,2.277689268,-1.785017217,0.492672051,4.504199317,-3.593043645,0.911155672,2.816641297,-2.23103476,0.585606537,2.957842277,2.957842277,0,2.172329472,-1.640975356,0.531354116,-1.146471599
Luke Kennard,kennalu01,2021,RS,LAC,63,2541,1232,0.35749494,-3.46045119,-3.10295625,0.809414804,-6.042399303,-5.232984499,0.411244322,-4.235550203,-3.824305881,-0.672685222,-0.672685222,0,0.193272096,-3.901521122,-3.708249025,-0.386898302
Louis King,kinglo02,2021,RS,SAC,6,183,85,6.122875709,2.545201791,8.6680775,-6.892703494,8.3937346,1.501031107,3.768747692,3.988424966,7.757172658,0.457175626,0.457175626,0,5.279480599,3.441074845,8.720555444,0.334856396
Maxi Kleber,klebima01,2021,PO,DAL,50,204,105,4.33347032,-4.173972797,0.159497523,14.15480715,-9.87313152,4.281675634,6.454998268,-5.486616607,0.968381661,0.207703346,0,0.207703346,6.581338778,-3.258838268,3.32250051,1.076647328
Maxi Kleber,klebima01,2021,RS,DAL,50,2797,1341,-1.577086732,1.14858731,-0.428499421,0.491112799,3.178946778,3.670059578,-1.262132149,1.646847927,0.384715777,2.138612395,2.138612395,0,-1.368692259,1.475972103,0.107279844,-0.286812365
Nathan Knight,knighna01,2021,RS,ATL,33,584,279,-2.050821157,2.925640858,0.874819701,-3.928212982,0.814048594,-3.114164388,-2.605414721,2.649670577,0.044255856,0.396035021,0.396035021,0,-2.935984105,-0.037244657,-2.973228763,-0.43552756
Kevin Knox II,knoxke01,2021,RS,NYK,42,961,464,-2.456512296,-0.981798099,-3.438310395,-4.841590981,1.432883239,-3.408707742,-3.07918012,-0.558543166,-3.637723286,-0.209670301,-0.209670301,0,-3.120400034,-1.884109237,-5.00450927,-0.232036581
John Konchar,konchjo01,2021,RS,MEM,43,1208,575,1.096475568,1.267665368,2.364140936,1.168817698,0.105434105,1.274251803,1.190199525,1.087982001,2.278181526,1.471993634,1.471993634,0,1.288867317,0.739820979,2.028688296,-0.21212858
Furkan Korkmaz,korkmfu01,2021,PO,PHI,55,64,30,-1.895018145,1.95985186,0.064833715,-12.24726317,19.02893297,6.781669801,-4.343245958,5.71984311,1.376597152,0.066001109,0,0.066001109,-2.592730478,0.620062504,-1.972667973,1.290605252
Furkan Korkmaz,korkmfu01,2021,RS,PHI,55,2239,1062,1.209932734,0.662803429,1.872736162,0.903813201,2.76384861,3.667661811,1.197985578,1.093541917,2.291527495,2.740170631,2.740170631,0,1.210476015,0.872271539,2.082747554,0.314487855
Luke Kornet,kornelu01,2021,PO,BOS,18,10,4,-4.099713304,-4.194004218,-8.293717522,-20.39346365,-15.61096416,-36.00442781,-7.685319915,-6.648897344,-14.33421726,-0.025059316,0,-0.025059316,-10.12621326,-7.837201739,-17.963415,2.718079084
Luke Kornet,kornelu01,2021,RS,CHI,13,209,94,-3.673935715,1.670838385,-2.00309733,-7.710597828,6.027324697,-1.683273132,-4.696911737,2.662132663,-2.034779074,0.034174488,0.034174488,0,-2.721688814,1.184698975,-1.53698984,-0.372833091
Luke Kornet,kornelu01,2021,RS,BOS,18,533,254,-3.757851412,3.893535803,0.135684391,-0.769391068,3.586998336,2.817607268,-3.38901643,4.064014662,0.674998232,0.442194465,0.442194465,0,-2.631118959,3.052012709,0.420893751,-0.376241551
Rodions Kurucs,kurucro01,2021,RS,MIL,5,76,34,3.006152337,-6.085085185,-3.078932848,12.57047738,1.763062443,14.33353982,5.125331868,-4.861674415,0.263657452,0.053643893,0.053643893,0,3.851723409,-4.001255194,-0.149531786,2.639618128
Rodions Kurucs,kurucro01,2021,RS,BRK,5,34,16,-0.742957187,-10.01078332,-10.75374051,-7.367234589,-5.636066665,-13.00330125,-2.242660672,-9.751172467,-11.99383314,-0.074623575,-0.074623575,0,-1.077287958,-9.535525749,-10.61281371,-1.118275899
Rodions Kurucs,kurucro01,2021,RS,HOU,11,174,75,-9.576720961,2.156564047,-7.420156914,-8.995431475,9.242136365,0.24670489,-9.991836528,3.838441848,-6.15339468,-0.13384706,-0.13384706,0,-7.210551107,0.897059593,-6.313491514,2.803840544
Kyle Kuzma,kuzmaky01,2021,PO,LAL,68,126,63,-2.396961256,4.046787706,1.649826449,-7.885610851,10.53018579,2.644574939,-3.680877956,5.485659328,1.804781372,0.150822773,0,0.150822773,-5.348876863,7.428271854,2.079394991,-0.110862787
Kyle Kuzma,kuzmaky01,2021,RS,LAL,68,4059,1954,-2.1299179,-0.240958069,-2.37087597,-5.64174358,0.834473728,-4.807269852,-2.968813937,-0.082203971,-3.051017907,-0.298792951,-0.298792951,0,-2.721720579,0.164724365,-2.556996214,-0.437787676
