player_name,player_id,Pos,Age,team,G,Season,min_played,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Andrew Bogut,bogutan01,C,29,GSW,67,2014,1769,17,0.61,0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,2.4,4,6.5,0.176,-0.2,3.2,3,2.2
Matt Bonner,bonnema01,PF,33,SAS,61,2014,690,11.2,0.582,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1,1.8,0.123,0,1.1,1,0.5
Trevor Booker,booketr01,PF,26,WAS,72,2014,1553,15,0.563,0.005,0.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,2.3,2,4.3,0.132,-0.5,0.4,-0.1,0.7
Carlos Boozer,boozeca01,PF,32,CHI,76,2014,2141,14.4,0.489,0.002,0.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,-0.9,4.3,3.4,0.076,-2.3,0.2,-2.1,-0.1
Chris Bosh,boshch01,C,29,MIA,79,2014,2531,19,0.597,0.229,0.285,5.1,20.3,13,5.8,1.7,2.7,10.4,22.6,4.6,3.4,8,0.152,1.3,-0.4,0.8,1.8
Avery Bradley,bradlav01,SG,23,BOS,60,2014,1855,12.7,0.51,0.242,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,0.4,1.4,1.8,0.046,-1.1,-0.8,-1.9,0.1
Elton Brand,brandel01,C,34,ATL,73,2014,1414,14,0.561,0.006,0.283,8,21.5,14.8,8.1,1.4,4.9,13.8,13.9,1.4,2.1,3.6,0.121,-2.4,1.6,-0.8,0.4
Corey Brewer,breweco01,SF,27,MIN,81,2014,2609,12.7,0.55,0.261,0.281,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,2.4,2.7,5.2,0.095,-1.7,1.5,-0.2,1.2
Ronnie Brewer,brewero02,SF,28,TOT,24,2014,160,3.4,0.22,0.533,0.133,1.5,7.9,4.9,8.1,1.9,0.5,11.2,4.9,-0.1,0.1,0,0.004,-3.8,1.4,-2.4,0
Ronnie Brewer,brewero02,SF,28,HOU,23,2014,158,3.5,0.22,0.533,0.133,1.5,8,4.9,8.2,1.9,0.5,11.2,5,-0.1,0.1,0,0.004,-3.8,1.5,-2.3,0
Ronnie Brewer,brewero02,SF,28,CHI,1,2014,2,0,,,,0,0,0,0,0,0,,0,0,0,0,0.029,-4.4,-3.9,-8.3,0
Aaron Brooks,brookaa01,PG,29,TOT,72,2014,1557,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,-0.2,-0.8,-1,0.4
Aaron Brooks,brookaa01,PG,29,HOU,43,2014,716,11.9,0.529,0.502,0.167,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,0.6,0.5,1.1,0.076,-0.1,-0.3,-0.4,0.3
Aaron Brooks,brookaa01,PG,29,DEN,29,2014,841,12.9,0.508,0.365,0.16,2.6,7.5,5,27.7,1.6,0.6,16.2,20.5,0.6,0.4,1,0.058,-0.3,-1.2,-1.5,0.1
MarShon Brooks,brookma01,SG,25,TOT,35,2014,316,15.5,0.551,0.2,0.352,3.4,15.5,9.3,12.9,2.2,0.9,14.3,23.4,0.1,0.3,0.4,0.06,-0.6,-0.5,-1.1,0.1
