EOY_rank,player_name,player_id,Season,Reg Season,Age,team,First,Pts Won,Pts Max,Share,G,mp_pg,PTS_pg,TRB_pg,AST_pg,STL_pg,BLK_pg,FG%,3P%,FT%,WS,WS/48,BPM,VORP,raptor_box_total,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season
7,Draymond Green,greendr01,2016,RS,25,GSW,0,50,1310,0.038,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,5.5,5.3,7.278610787,15.86807966,4.153501982,5.213447385,9.366949367,17.81742403,17.81742403
8,Damian Lillard,lillada01,2016,RS,25,POR,0,26,1310,0.02,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,4.4,4.3,3.347376991,0.59733581,4.991237036,-2.050622146,2.94061489,7.869893978,7.869893978
9,James Harden,hardeja01,2016,RS,26,HOU,0,9,1310,0.007,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,6.6,6.8,4.6746339,4.889200785,5.656000115,-0.608396439,5.047603676,12.60331022,12.60331022
10,Kyle Lowry,lowryky01,2016,RS,29,TOR,0,6,1310,0.005,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,5.8,5.7,5.545406994,5.344143733,5.527970978,0.255826637,5.783797615,12.44125634,12.44125634
1,Stephen Curry,curryst01,2015,RS,26,GSW,100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,9.9,7.9,10.7676592,13.32914628,9.472838727,2.259680893,11.73251962,19.91478519,19.91478519
2,James Harden,hardeja01,2015,RS,25,HOU,25,936,1300,0.72,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,8.8,8.1,7.870354932,5.042163842,7.678912624,0.067597139,7.746509763,16.12853216,16.12853216
3,LeBron James,jamesle01,2015,RS,30,CLE,5,552,1300,0.425,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,7.1,5.7,4.093031487,8.245956536,5.251482182,-0.124572533,5.126909649,10.08546782,10.08546782
4,Russell Westbrook,westbru01,2015,RS,26,OKC,0,352,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,8.1,5.8,5.879644468,2.880741792,6.093559789,-0.487868576,5.605691214,10.11974092,10.11974092
5,Anthony Davis,davisan02,2015,RS,21,NOP,0,203,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,8.9,6.7,8.485928744,7.964216377,4.315785373,4.530028299,8.845813672,14.52595491,14.52595491
6,Chris Paul,paulch01,2015,RS,29,LAC,0,124,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,8,7.2,9.590280356,12.38717012,8.537597429,2.057695969,10.5952934,19.41801466,19.41801466
7,LaMarcus Aldridge,aldrila01,2015,RS,29,POR,0,6,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,2.9,3.1,4.183141065,3.976191347,2.418168543,1.87072375,4.288892293,8.937972946,8.937972946
8,Marc Gasol,gasolma01,2015,RS,30,MEM,0,3,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,5.1,4.8,4.889388392,-0.328236304,1.446120093,2.589309953,4.035430046,9.26124156,9.26124156
9,Blake Griffin,griffbl01,2015,RS,25,LAC,0,3,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,4,3.6,2.117180277,2.171019011,3.232984456,-1.244214373,1.988770083,5.710721338,5.710721338
10,Tim Duncan,duncati01,2015,RS,38,SAS,0,1,1300,0.001,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,5.1,4,3.704662014,1.157590091,-0.181642553,3.482423229,3.300780676,6.849059755,6.849059755
11,Kawhi Leonard,leonaka01,2015,RS,23,SAS,0,1,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,5.9,4.1,8.536925299,8.265583991,3.698908887,5.19082193,8.889730817,12.1137221,12.1137221
12,Klay Thompson,thompkl01,2015,RS,24,GSW,0,1,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,4.4,4,4.689685592,7.499753348,4.344558884,1.000543252,5.345102136,10.25668225,10.25668225
1,Kevin Durant,duranke01,2014,RS,25,OKC,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,10.2,9.6,7.333999797,4.351206071,7.638684459,-0.552201989,7.086482469,16.01043151,16.01043151
2,LeBron James,jamesle01,2014,RS,29,MIA,6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,8.8,7.9,4.351244921,4.673242248,5.838391895,-1.285499707,4.552892188,10.89070513,10.89070513
3,Blake Griffin,griffbl01,2014,RS,24,LAC,0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,4.5,4.7,2.426750953,6.066672706,2.882739603,0.318981847,3.20172145,8.744554717,8.744554717
4,Joakim Noah,noahjo01,2014,RS,28,CHI,0,322,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,5.3,5.2,6.02171084,4.085191007,1.467579932,4.477997478,5.945577411,12.46159028,12.46159028
5,James Harden,hardeja01,2014,RS,24,HOU,0,85,1250,0.068,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,5.6,5.3,5.96441261,5.084375788,6.341657384,-0.272962254,6.068695131,12.6494538,12.6494538
6,Stephen Curry,curryst01,2014,RS,25,GSW,0,66,1250,0.053,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,7.4,6.7,7.458464737,8.701438125,7.609201262,0.456967809,8.066169071,16.09322437,16.09322437
7,Chris Paul,paulch01,2014,RS,28,LAC,0,45,1250,0.036,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,8.6,5.8,11.28182544,7.186419926,7.118561625,3.88385109,11.00241271,15.30220204,15.30220204
8,Al Jefferson,jeffeal01,2014,RS,29,CHA,0,34,1250,0.027,73,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2.7,3,1.36871362,0.445995187,-0.546098135,1.824568764,1.278470629,5.202659857,5.202659857
9,Paul George,georgpa01,2014,RS,23,IND,0,33,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,4.9,5,6.028139893,2.514423924,2.644767244,2.949835295,5.594602539,12.44134378,12.44134378
10,LaMarcus Aldridge,aldrila01,2014,RS,28,POR,0,26,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,2.3,2.7,2.64861092,5.706770243,1.139124681,2.227973419,3.3670981,7.721583795,7.721583795
11,Kevin Love,loveke01,2014,RS,25,MIN,0,25,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,8.9,7.7,6.617289087,4.704364281,5.681616554,0.884102594,6.565719148,13.57725105,13.57725105
